 40%|███▉      | 158/400 [03:28<06:02,  1.50s/it]
Epoch [159/400], Total Loss: 1.275022502988577

 40%|████      | 160/400 [03:31<05:36,  1.40s/it]

 40%|████      | 161/400 [03:32<05:28,  1.37s/it]
Epoch [162/400], Total Loss: 1.2380878180265427

 41%|████      | 163/400 [03:35<05:11,  1.31s/it]

 41%|████      | 164/400 [03:36<05:07,  1.30s/it]
Epoch [165/400], Total Loss: 1.2444503493607044

 42%|████▏     | 166/400 [03:39<05:23,  1.38s/it]
Epoch [167/400], Total Loss: 1.2047099247574806

 42%|████▏     | 168/400 [03:42<05:58,  1.54s/it]

 42%|████▏     | 169/400 [03:44<05:48,  1.51s/it]
Epoch [170/400], Total Loss: 1.2042446434497833

 43%|████▎     | 171/400 [03:46<05:20,  1.40s/it]

 43%|████▎     | 172/400 [03:48<05:13,  1.38s/it]
Epoch [173/400], Total Loss: 1.1901689991354942


 44%|████▍     | 175/400 [03:51<04:56,  1.32s/it]

 44%|████▍     | 176/400 [03:54<05:46,  1.55s/it]

 44%|████▍     | 178/400 [03:56<05:24,  1.46s/it]
Epoch [177/400], Total Loss: 1.1921942234039307

 45%|████▍     | 179/400 [03:58<05:13,  1.42s/it]

 45%|████▌     | 181/400 [04:00<04:56,  1.36s/it]
Epoch [180/400], Total Loss: 1.148420974612236

 46%|████▌     | 183/400 [04:03<04:42,  1.30s/it]
Epoch [182/400], Total Loss: 1.1199845671653748
Epoch [183/400], Total Loss: 1.110276985913515

 46%|████▌     | 184/400 [04:04<04:44,  1.32s/it]

 46%|████▋     | 185/400 [04:06<05:07,  1.43s/it]
Epoch [186/400], Total Loss: 1.0569866821169853

 47%|████▋     | 187/400 [04:08<04:50,  1.36s/it]

 47%|████▋     | 188/400 [04:10<04:45,  1.35s/it]
Epoch [189/400], Total Loss: 1.0802134945988655

 48%|████▊     | 190/400 [04:12<04:33,  1.30s/it]


 48%|████▊     | 193/400 [04:16<04:47,  1.39s/it]
Epoch [192/400], Total Loss: 1.0686504431068897

 48%|████▊     | 194/400 [04:18<04:49,  1.41s/it]

 49%|████▉     | 196/400 [04:21<04:34,  1.35s/it]
Epoch [195/400], Total Loss: 1.0734274871647358

 49%|████▉     | 197/400 [04:22<04:28,  1.32s/it]

 50%|████▉     | 199/400 [04:24<04:21,  1.30s/it]
Epoch [198/400], Total Loss: 1.0493120290338993

 50%|█████     | 200/400 [04:26<04:21,  1.31s/it]

 50%|█████     | 202/400 [04:28<04:20,  1.31s/it]
Epoch [201/400], Total Loss: 1.1134923361241817

 51%|█████     | 203/400 [04:30<04:28,  1.36s/it]
Epoch [203/400], Total Loss: 1.0131787434220314


 52%|█████▏    | 206/400 [04:34<04:28,  1.38s/it]
Epoch [205/400], Total Loss: 0.9979302994906902

 52%|█████▏    | 208/400 [04:37<04:14,  1.32s/it]
Epoch [207/400], Total Loss: 1.0297339335083961
Epoch [208/400], Total Loss: 0.9869640991091728

 52%|█████▏    | 209/400 [04:38<04:10,  1.31s/it]
Epoch [210/400], Total Loss: 0.9917469136416912

 53%|█████▎    | 211/400 [04:41<04:05,  1.30s/it]

 53%|█████▎    | 212/400 [04:42<04:05,  1.31s/it]

