날짜,고가,저가,종가,MA-5,MA-15,EMA-5,EMA-15,RSI
2000-08-22,6470,6240,6460,6358.0,6088.666666666667,6311.270832074725,6242.739060830146,55.0
2000-08-23,6450,6160,6190,6312.0,6086.666666666667,6270.84722138315,6236.146678226378,52.38095238095238
2000-08-24,6300,6100,6220,6268.0,6096.666666666667,6253.898147588767,6234.128343448081,53.78486055776892
2000-08-25,6400,6110,6400,6308.0,6121.333333333333,6302.598765059178,6254.862300517071,59.30232558139535
2000-08-28,6380,6260,6330,6320.0,6148.666666666667,6311.732510039453,6264.254512952437,66.23376623376623
2000-08-29,6380,6160,6220,6272.0,6191.333333333333,6281.1550066929685,6258.722698833382,63.22314049586777
2000-08-30,6190,6020,6030,6240.0,6221.333333333333,6197.436671128647,6230.132361479209,50.68493150684931
2000-08-31,5900,5380,5470,6090.0,6186.0,5954.957780752431,6135.115816294308,36.67953667953668
2000-09-01,5600,5420,5540,5918.0,6144.666666666667,5816.638520501621,6060.72633925752,41.463414634146346
2000-09-04,5550,5310,5340,5720.0,6103.333333333333,5657.759013667748,5970.63554685033,36.92307692307693
2000-09-05,5340,5030,5150,5506.0,6045.333333333333,5488.506009111832,5868.056103494038,23.430962343096226
2000-09-07,4980,4760,4790,5194.0,5850.666666666667,5180.447115160815,5654.761704237623,21.686746987951807
2000-09-08,4929,4790,4880,5062.0,5762.666666666667,5080.298076773877,5557.91649120792,22.310756972111562
2000-09-14,4710,4440,4710,4936.0,5658.666666666667,4956.865384515919,5451.92692980693,14.859437751004023
2000-09-15,4620,4300,4350,4776.0,5518.0,4754.5769230106125,5314.186063581064,14.341085271317837
2000-09-18,4120,3700,3970,4540.0,5370.0,4493.051282007075,5146.162805633431,11.604095563139936
2000-09-19,4370,3900,4160,4414.0,5232.666666666667,4382.034188004717,5022.892454929252,11.904761904761898
2000-09-20,4660,4460,4600,4358.0,5112.666666666667,4454.689458669812,4970.030898063096,23.86706948640483
